"";"ID";"Soil";"Diversity";"Time";"Rep"
"AxC-5T5R6";"AxC-5T5R6";"AxC";"5";"T5";"R6"
"B10-1T15R1";"B10-1T15R1";"B";"1";"T15";"R1"
"B10-1T15R2";"B10-1T15R2";"B";"1";"T15";"R2"
"B10-1T15R3";"B10-1T15R3";"B";"1";"T15";"R3"
"B10-1T15R4";"B10-1T15R4";"B";"1";"T15";"R4"
"B10-1T15R5";"B10-1T15R5";"B";"1";"T15";"R5"
"B10-1T15R6";"B10-1T15R6";"B";"1";"T15";"R6"
"B10-1T1R1";"B10-1T1R1";"B";"1";"T1";"R1"
"B10-1T1R2";"B10-1T1R2";"B";"1";"T1";"R2"
"B10-1T1R3";"B10-1T1R3";"B";"1";"T1";"R3"
"B10-1T1R4";"B10-1T1R4";"B";"1";"T1";"R4"
"B10-1T1R5";"B10-1T1R5";"B";"1";"T1";"R5"
"B10-1T1R6";"B10-1T1R6";"B";"1";"T1";"R6"
"B10-1T30R1";"B10-1T30R1";"B";"1";"T30";"R1"
"B10-1T30R2";"B10-1T30R2";"B";"1";"T30";"R2"
"B10-1T30R3";"B10-1T30R3";"B";"1";"T30";"R3"
"B10-1T30R4";"B10-1T30R4";"B";"1";"T30";"R4"
"B10-1T30R5";"B10-1T30R5";"B";"1";"T30";"R5"
"B10-1T30R6";"B10-1T30R6";"B";"1";"T30";"R6"
"B10-1T5R1";"B10-1T5R1";"B";"1";"T5";"R1"
"B10-1T5R2";"B10-1T5R2";"B";"1";"T5";"R2"
"B10-1T5R3";"B10-1T5R3";"B";"1";"T5";"R3"
"B10-1T5R4";"B10-1T5R4";"B";"1";"T5";"R4"
"B10-1T5R5";"B10-1T5R5";"B";"1";"T5";"R5"
"B10-1T5R6";"B10-1T5R6";"B";"1";"T5";"R6"
"B10-3T15R1";"B10-3T15R1";"B";"3";"T15";"R1"
"B10-3T15R2";"B10-3T15R2";"B";"3";"T15";"R2"
"B10-3T15R3";"B10-3T15R3";"B";"3";"T15";"R3"
"B10-3T15R4";"B10-3T15R4";"B";"3";"T15";"R4"
"B10-3T15R5";"B10-3T15R5";"B";"3";"T15";"R5"
"B10-3T15R6";"B10-3T15R6";"B";"3";"T15";"R6"
"B10-3T1R1";"B10-3T1R1";"B";"3";"T1";"R1"
"B10-3T1R2";"B10-3T1R2";"B";"3";"T1";"R2"
"B10-3T1R3";"B10-3T1R3";"B";"3";"T1";"R3"
"B10-3T1R4";"B10-3T1R4";"B";"3";"T1";"R4"
"B10-3T1R5";"B10-3T1R5";"B";"3";"T1";"R5"
"B10-3T1R6";"B10-3T1R6";"B";"3";"T1";"R6"
"B10-3T30R1";"B10-3T30R1";"B";"3";"T30";"R1"
"B10-3T30R2";"B10-3T30R2";"B";"3";"T30";"R2"
"B10-3T30R3";"B10-3T30R3";"B";"3";"T30";"R3"
"B10-3T30R4";"B10-3T30R4";"B";"3";"T30";"R4"
"B10-3T30R5";"B10-3T30R5";"B";"3";"T30";"R5"
"B10-3T30R6";"B10-3T30R6";"B";"3";"T30";"R6"
"B10-3T5R1";"B10-3T5R1";"B";"3";"T5";"R1"
"B10-3T5R2";"B10-3T5R2";"B";"3";"T5";"R2"
"B10-3T5R3";"B10-3T5R3";"B";"3";"T5";"R3"
"B10-3T5R4";"B10-3T5R4";"B";"3";"T5";"R4"
"B10-3T5R5";"B10-3T5R5";"B";"3";"T5";"R5"
"B10-3T5R6";"B10-3T5R6";"B";"3";"T5";"R6"
"B10-5T15R1";"B10-5T15R1";"B";"5";"T15";"R1"
"B10-5T15R2";"B10-5T15R2";"B";"5";"T15";"R2"
"B10-5T15R3";"B10-5T15R3";"B";"5";"T15";"R3"
"B10-5T15R4";"B10-5T15R4";"B";"5";"T15";"R4"
"B10-5T15R5";"B10-5T15R5";"B";"5";"T15";"R5"
"B10-5T15R6";"B10-5T15R6";"B";"5";"T15";"R6"
"B10-5T1R1";"B10-5T1R1";"B";"5";"T1";"R1"
"B10-5T1R2";"B10-5T1R2";"B";"5";"T1";"R2"
"B10-5T1R3";"B10-5T1R3";"B";"5";"T1";"R3"
"B10-5T1R4";"B10-5T1R4";"B";"5";"T1";"R4"
"B10-5T1R5";"B10-5T1R5";"B";"5";"T1";"R5"
"B10-5T1R6";"B10-5T1R6";"B";"5";"T1";"R6"
"B10-5T30R1";"B10-5T30R1";"B";"5";"T30";"R1"
"B10-5T30R2";"B10-5T30R2";"B";"5";"T30";"R2"
"B10-5T30R3";"B10-5T30R3";"B";"5";"T30";"R3"
"B10-5T30R4";"B10-5T30R4";"B";"5";"T30";"R4"
"B10-5T30R5";"B10-5T30R5";"B";"5";"T30";"R5"
"B10-5T30R6";"B10-5T30R6";"B";"5";"T30";"R6"
"B10-5T5R1";"B10-5T5R1";"B";"5";"T5";"R1"
"B10-5T5R2";"B10-5T5R2";"B";"5";"T5";"R2"
"B10-5T5R3";"B10-5T5R3";"B";"5";"T5";"R3"
"B10-5T5R4";"B10-5T5R4";"B";"5";"T5";"R4"
"B10-5T5R5";"B10-5T5R5";"B";"5";"T5";"R5"
"B10-5T5R6";"B10-5T5R6";"B";"5";"T5";"R6"
"BxC-1T15R1";"BxC-1T15R1";"BxC";"1";"T15";"R1"
"BxC-1T15R2";"BxC-1T15R2";"BxC";"1";"T15";"R2"
"BxC-1T15R3";"BxC-1T15R3";"BxC";"1";"T15";"R3"
"BxC-1T15R4";"BxC-1T15R4";"BxC";"1";"T15";"R4"
"BxC-1T15R5";"BxC-1T15R5";"BxC";"1";"T15";"R5"
"BxC-1T15R6";"BxC-1T15R6";"BxC";"1";"T15";"R6"
"BxC-1T1R1";"BxC-1T1R1";"BxC";"1";"T1";"R1"
"BxC-1T1R2";"BxC-1T1R2";"BxC";"1";"T1";"R2"
"BxC-1T1R3";"BxC-1T1R3";"BxC";"1";"T1";"R3"
"BxC-1T1R4";"BxC-1T1R4";"BxC";"1";"T1";"R4"
"BxC-1T1R5";"BxC-1T1R5";"BxC";"1";"T1";"R5"
"BxC-1T1R6";"BxC-1T1R6";"BxC";"1";"T1";"R6"
"BxC-1T30R1";"BxC-1T30R1";"BxC";"1";"T30";"R1"
"BxC-1T30R2";"BxC-1T30R2";"BxC";"1";"T30";"R2"
"BxC-1T30R3";"BxC-1T30R3";"BxC";"1";"T30";"R3"
"BxC-1T30R4";"BxC-1T30R4";"BxC";"1";"T30";"R4"
"BxC-1T30R5";"BxC-1T30R5";"BxC";"1";"T30";"R5"
"BxC-1T30R6";"BxC-1T30R6";"BxC";"1";"T30";"R6"
"BxC-1T5R1";"BxC-1T5R1";"BxC";"1";"T5";"R1"
"BxC-1T5R2";"BxC-1T5R2";"BxC";"1";"T5";"R2"
"BxC-1T5R3";"BxC-1T5R3";"BxC";"1";"T5";"R3"
"BxC-1T5R4";"BxC-1T5R4";"BxC";"1";"T5";"R4"
"BxC-1T5R5";"BxC-1T5R5";"BxC";"1";"T5";"R5"
"BxC-1T5R6";"BxC-1T5R6";"BxC";"1";"T5";"R6"
"BxC-3T15R1";"BxC-3T15R1";"BxC";"3";"T15";"R1"
"BxC-3T15R2";"BxC-3T15R2";"BxC";"3";"T15";"R2"
"BxC-3T15R3";"BxC-3T15R3";"BxC";"3";"T15";"R3"
"BxC-3T15R4";"BxC-3T15R4";"BxC";"3";"T15";"R4"
"BxC-3T15R5";"BxC-3T15R5";"BxC";"3";"T15";"R5"
"BxC-3T15R6";"BxC-3T15R6";"BxC";"3";"T15";"R6"
"BxC-3T1R1";"BxC-3T1R1";"BxC";"3";"T1";"R1"
"BxC-3T1R2";"BxC-3T1R2";"BxC";"3";"T1";"R2"
"BxC-3T1R3";"BxC-3T1R3";"BxC";"3";"T1";"R3"
"BxC-3T1R4";"BxC-3T1R4";"BxC";"3";"T1";"R4"
"BxC-3T1R5";"BxC-3T1R5";"BxC";"3";"T1";"R5"
"BxC-3T1R6";"BxC-3T1R6";"BxC";"3";"T1";"R6"
"BxC-3T30R1";"BxC-3T30R1";"BxC";"3";"T30";"R1"
"BxC-3T30R2";"BxC-3T30R2";"BxC";"3";"T30";"R2"
"BxC-3T30R3";"BxC-3T30R3";"BxC";"3";"T30";"R3"
"BxC-3T30R4";"BxC-3T30R4";"BxC";"3";"T30";"R4"
"BxC-3T30R5";"BxC-3T30R5";"BxC";"3";"T30";"R5"
"BxC-3T30R6";"BxC-3T30R6";"BxC";"3";"T30";"R6"
"BxC-3T5R1";"BxC-3T5R1";"BxC";"3";"T5";"R1"
"BxC-3T5R2";"BxC-3T5R2";"BxC";"3";"T5";"R2"
"BxC-3T5R3";"BxC-3T5R3";"BxC";"3";"T5";"R3"
"BxC-3T5R4";"BxC-3T5R4";"BxC";"3";"T5";"R4"
"BxC-3T5R5";"BxC-3T5R5";"BxC";"3";"T5";"R5"
"BxC-3T5R6";"BxC-3T5R6";"BxC";"3";"T5";"R6"
"BxC-5T15R1";"BxC-5T15R1";"BxC";"5";"T15";"R1"
"BxC-5T15R2";"BxC-5T15R2";"BxC";"5";"T15";"R2"
"BxC-5T15R3";"BxC-5T15R3";"BxC";"5";"T15";"R3"
"BxC-5T15R4";"BxC-5T15R4";"BxC";"5";"T15";"R4"
"BxC-5T15R5";"BxC-5T15R5";"BxC";"5";"T15";"R5"
"BxC-5T15R6";"BxC-5T15R6";"BxC";"5";"T15";"R6"
"BxC-5T1R1";"BxC-5T1R1";"BxC";"5";"T1";"R1"
"BxC-5T1R2";"BxC-5T1R2";"BxC";"5";"T1";"R2"
"BxC-5T1R3";"BxC-5T1R3";"BxC";"5";"T1";"R3"
"BxC-5T1R4";"BxC-5T1R4";"BxC";"5";"T1";"R4"
"BxC-5T1R5";"BxC-5T1R5";"BxC";"5";"T1";"R5"
"BxC-5T1R6";"BxC-5T1R6";"BxC";"5";"T1";"R6"
"BxC-5T30R1";"BxC-5T30R1";"BxC";"5";"T30";"R1"
"BxC-5T30R2";"BxC-5T30R2";"BxC";"5";"T30";"R2"
"BxC-5T30R3";"BxC-5T30R3";"BxC";"5";"T30";"R3"
"BxC-5T30R4";"BxC-5T30R4";"BxC";"5";"T30";"R4"
"BxC-5T30R5";"BxC-5T30R5";"BxC";"5";"T30";"R5"
"BxC-5T30R6";"BxC-5T30R6";"BxC";"5";"T30";"R6"
"BxC-5T5R1";"BxC-5T5R1";"BxC";"5";"T5";"R1"
"BxC-5T5R2";"BxC-5T5R2";"BxC";"5";"T5";"R2"
"BxC-5T5R3";"BxC-5T5R3";"BxC";"5";"T5";"R3"
"BxC-5T5R4";"BxC-5T5R4";"BxC";"5";"T5";"R4"
"BxC-5T5R5";"BxC-5T5R5";"BxC";"5";"T5";"R5"
"BxC-5T5R6";"BxC-5T5R6";"BxC";"5";"T5";"R6"
"C10-1T15R1";"C10-1T15R1";"C";"1";"T15";"R1"
"C10-1T15R2";"C10-1T15R2";"C";"1";"T15";"R2"
"C10-1T15R3";"C10-1T15R3";"C";"1";"T15";"R3"
"C10-1T15R4";"C10-1T15R4";"C";"1";"T15";"R4"
"C10-1T15R5";"C10-1T15R5";"C";"1";"T15";"R5"
"C10-1T15R6";"C10-1T15R6";"C";"1";"T15";"R6"
"C10-1T1R1";"C10-1T1R1";"C";"1";"T1";"R1"
"C10-1T1R2";"C10-1T1R2";"C";"1";"T1";"R2"
"C10-1T1R3";"C10-1T1R3";"C";"1";"T1";"R3"
"C10-1T1R4";"C10-1T1R4";"C";"1";"T1";"R4"
"C10-1T1R5";"C10-1T1R5";"C";"1";"T1";"R5"
"C10-1T1R6";"C10-1T1R6";"C";"1";"T1";"R6"
"C10-1T30R1";"C10-1T30R1";"C";"1";"T30";"R1"
"C10-1T30R2";"C10-1T30R2";"C";"1";"T30";"R2"
"C10-1T30R3";"C10-1T30R3";"C";"1";"T30";"R3"
"C10-1T30R4";"C10-1T30R4";"C";"1";"T30";"R4"
"C10-1T30R5";"C10-1T30R5";"C";"1";"T30";"R5"
"C10-1T30R6";"C10-1T30R6";"C";"1";"T30";"R6"
"C10-1T5R1";"C10-1T5R1";"C";"1";"T5";"R1"
"C10-1T5R2";"C10-1T5R2";"C";"1";"T5";"R2"
"C10-1T5R3";"C10-1T5R3";"C";"1";"T5";"R3"
"C10-1T5R4";"C10-1T5R4";"C";"1";"T5";"R4"
"C10-1T5R5";"C10-1T5R5";"C";"1";"T5";"R5"
"C10-1T5R6";"C10-1T5R6";"C";"1";"T5";"R6"
"C10-3T15R1";"C10-3T15R1";"C";"3";"T15";"R1"
"C10-3T15R2";"C10-3T15R2";"C";"3";"T15";"R2"
"C10-3T15R3";"C10-3T15R3";"C";"3";"T15";"R3"
"C10-3T15R4";"C10-3T15R4";"C";"3";"T15";"R4"
"C10-3T15R5";"C10-3T15R5";"C";"3";"T15";"R5"
"C10-3T15R6";"C10-3T15R6";"C";"3";"T15";"R6"
"C10-3T1R1";"C10-3T1R1";"C";"3";"T1";"R1"
"C10-3T1R2";"C10-3T1R2";"C";"3";"T1";"R2"
"C10-3T1R3";"C10-3T1R3";"C";"3";"T1";"R3"
"C10-3T1R4";"C10-3T1R4";"C";"3";"T1";"R4"
"C10-3T1R5";"C10-3T1R5";"C";"3";"T1";"R5"
"C10-3T1R6";"C10-3T1R6";"C";"3";"T1";"R6"
"C10-3T30R1";"C10-3T30R1";"C";"3";"T30";"R1"
"C10-3T30R2";"C10-3T30R2";"C";"3";"T30";"R2"
"C10-3T30R3";"C10-3T30R3";"C";"3";"T30";"R3"
"C10-3T30R4";"C10-3T30R4";"C";"3";"T30";"R4"
"C10-3T30R5";"C10-3T30R5";"C";"3";"T30";"R5"
"C10-3T30R6";"C10-3T30R6";"C";"3";"T30";"R6"
"C10-3T5R1";"C10-3T5R1";"C";"3";"T5";"R1"
"C10-3T5R2";"C10-3T5R2";"C";"3";"T5";"R2"
"C10-3T5R3";"C10-3T5R3";"C";"3";"T5";"R3"
"C10-3T5R4";"C10-3T5R4";"C";"3";"T5";"R4"
"C10-3T5R5";"C10-3T5R5";"C";"3";"T5";"R5"
"C10-3T5R6";"C10-3T5R6";"C";"3";"T5";"R6"
"C10-5T15R1";"C10-5T15R1";"C";"5";"T15";"R1"
"C10-5T15R2";"C10-5T15R2";"C";"5";"T15";"R2"
"C10-5T15R3";"C10-5T15R3";"C";"5";"T15";"R3"
"C10-5T15R4";"C10-5T15R4";"C";"5";"T15";"R4"
"C10-5T15R5";"C10-5T15R5";"C";"5";"T15";"R5"
"C10-5T15R6";"C10-5T15R6";"C";"5";"T15";"R6"
"C10-5T1R1";"C10-5T1R1";"C";"5";"T1";"R1"
"C10-5T1R2";"C10-5T1R2";"C";"5";"T1";"R2"
"C10-5T1R3";"C10-5T1R3";"C";"5";"T1";"R3"
"C10-5T1R4";"C10-5T1R4";"C";"5";"T1";"R4"
"C10-5T1R5";"C10-5T1R5";"C";"5";"T1";"R5"
"C10-5T1R6";"C10-5T1R6";"C";"5";"T1";"R6"
"C10-5T30R1";"C10-5T30R1";"C";"5";"T30";"R1"
"C10-5T30R2";"C10-5T30R2";"C";"5";"T30";"R2"
"C10-5T30R3";"C10-5T30R3";"C";"5";"T30";"R3"
"C10-5T30R4";"C10-5T30R4";"C";"5";"T30";"R4"
"C10-5T30R5";"C10-5T30R5";"C";"5";"T30";"R5"
"C10-5T30R6";"C10-5T30R6";"C";"5";"T30";"R6"
"C10-5T5R1";"C10-5T5R1";"C";"5";"T5";"R1"
"C10-5T5R2";"C10-5T5R2";"C";"5";"T5";"R2"
"C10-5T5R3";"C10-5T5R3";"C";"5";"T5";"R3"
"C10-5T5R4";"C10-5T5R4";"C";"5";"T5";"R4"
"C10-5T5R5";"C10-5T5R5";"C";"5";"T5";"R5"
"C10-5T5R6";"C10-5T5R6";"C";"5";"T5";"R6"
