,Chemistry
A1,pH
A2,Phosphorus
A3,Potassium
A4,Magnesium
A5,Calcium
A6,Acidity_index
A7,CEC
A8,K_percent_saturation_of_CEC
A9,Mg_percent_saturation_of_CEC
A10,Ca_percent_saturation_of_CEC
A11,Zinc
A12,Copper
A13,Sulfur
A14,Percent_Organic_Matter
A15,Nitrate_nitrogen
A16,Soluble_Salts
A17,Ammonium_nitrogen
A18,Total_N_Percent
A19,Total_C_percent
A20,Sand_percent
A21,Silt_percent
A22,Clay_percent
A23,Gravel_percent_Retained
A24,Very_Coarse_Sand_percent_Retained
A25,Coarse_Sand_percent_Retained
A26,Medium_Sand_percent_Retained
A27,Fine_Sand_percent_Retained
A28,Very_Fine_Sand_percent_Retained
A29,Fines_percent_Retained 