soil,rep,pH,Phosphorus,Potassium,Magnesium,Calcium,Acidity_index,CEC,K_percent_saturation_of_CEC,Mg_percent_saturation_of_CEC,Ca_percent_saturation_of_CEC,Zinc,Copper,Sulfur,Percent_Organic_Matter,Nitrate_nitrogen,Soluble_Salts,Ammonium_nitrogen,Total_N_Percent,Total_C_percent,Sand_percent,Silt_percent,Clay_percent,Gravel_percent_Retained,Very_Coarse_Sand_percent_Retained,Coarse_Sand_percent_Retained,Medium_Sand_percent_Retained,Fine_Sand_percent_Retained,Very_Fine_Sand_percent_Retained,Fines_percent_Retained 
B,1,5.23,31,34,56,270.5,7.5,9.4,0.9,5,14.4,3.2,1.1,17.2,1.49,2.35,0.05,4.195,0.08,1.26,77.5,16.1,6.3,0,0.3,5.9,39.2,26.2,4.7,23.6
B,2,5.25,33,32,59,270,6.9,8.8,0.9,5.6,15.3,3.9,1.4,18.1,1.39,2.5,0.05,4.345,0.07,1.1,75.1,17.3,7.6,0,0.3,4.7,36.5,28.6,5.2,24.7
B,3,5.12,36,34,70,367.7,6.3,8.8,1,6.6,20.9,5.3,1.5,17.6,2.19,2.4,0.05,5,0.08,1.16,77.4,15.5,7,0,0.2,5.4,38.7,27.3,4.7,23.6
A,1,5.95,295,66,75,489.3,2.2,5.4,3.1,11.5,45,13.1,6.9,12.7,0.64,8.9,0.06,0.845,0.05,0.6,93,4.7,2.3,0,6.1,35.8,38.5,12.6,0.5,6.5
A,2,5.78,250,52,69,416.5,2.8,5.6,2.4,10.3,37.2,11.7,6,11.2,0.76,11.35,0.08,0.88,0.07,0.79,90.1,6.2,3.7,0,1.9,19.6,42.5,24.6,1.9,9.6
A,3,5.88,288,66,79,501.7,2.8,6.1,2.8,10.7,40.9,12.5,6.5,12.3,0.91,10.65,0.08,0.94,0.07,0.78,90.7,6.2,3.1,0,2.1,21.3,41.8,23.7,1.9,9.2
C,1,6.74,96,474,495,3553.5,2,22.3,5.4,18.5,67.1,34.2,4.6,11.8,3.69,19.65,0.04,2.685,0.22,2.33,16.1,55.4,28.6,69.5,0.8,0.2,0.2,0.2,0.5,28.5
C,2,6.95,107,520,506,3980.2,0,20.6,6.5,20.5,73,39.4,5.1,15.9,3.89,19.8,0.04,2.825,0.24,2.72,15.9,54.1,30,70.4,0.7,0.3,0.3,0.2,0.5,27.6
C,3,6.77,102,516,503,3862.5,2,22.5,5.9,18.6,66.6,38.1,4.6,13.8,3.8,19.25,0.04,2.505,0.23,2.57,15.6,55,29.4,67.7,0.9,0.3,0.2,0.2,0.5,30.2
B-gamma,1,5.17,40,32,56,166.4,8.1,9.5,0.9,4.9,8.8,3.8,1,21.8,1.29,1,0.08,15.4,0.08,1.29,,,,,,,,,,
B-gamma,2,5.12,37,28,51,205.5,7.5,9,0.8,4.7,11.4,3.5,1,19.7,1.41,1,0.07,16.6,0.08,1.29,,,,,,,,,,
B-gamma,3,5.13,38,29,53,210,7.5,9.1,0.8,4.9,11.6,3.5,1,20.5,1.67,1.1,0.08,16.3,0.08,1.3,,,,,,,,,,
A-gamma,1,5.79,295,52,71,364.8,2.8,5.3,2.5,11.1,34.1,12.2,6.1,14.2,0.65,8.9,0.09,4.545,0.07,0.72,,,,,,,,,,
A-gamma,2,5.81,326,58,77,416,3.4,6.3,2.4,10.2,33.2,13.7,6.8,15.4,0.62,9.5,0.09,4.51,0.06,0.72,,,,,,,,,,
A-gamma,3,5.81,262,50,66,345.4,2.8,5.2,2.5,10.6,33.2,11.1,5.6,12.7,0.63,8.9,0.09,4.325,0.06,0.72,,,,,,,,,,
C-gamma,1,6.86,129,412,502,3753.9,0,20.2,5.2,20.7,74.1,39.8,3.7,28.9,3.56,3.4,0.31,37.45,0.22,2.4,,,,,,,,,,
C-gamma,2,6.73,118,379,461,3307.5,2,21.8,4.5,17.6,68.8,35.1,3.6,24.2,3.67,3,0.31,38.1,0.22,2.33,,,,,,,,,,
C-gamma,3,6.72,119,397,481,3419.5,2,22,4.6,18.2,68.1,37.1,3.4,24.7,3.69,3,0.32,39.7,0.22,2.43,,,,,,,,,,